"SampleID","Year","Region","Site","Tissue","Replicate","meanCq","meanSQ","countRep","leaf_mass","cells_per_uL","dilute_cells_in_extraction","total_cells_in_extraction","cells_per_g","cells_per_mg","Result"
"2021_OR_B_G_7",2021,"OR","B","G","7",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_G_8",2021,"OR","B","G","8",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_G_9",2021,"OR","B","G","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_L_0",2021,"OR","B","L","0",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_L_2",2021,"OR","B","L","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_L_3",2021,"OR","B","L","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_L_4",2021,"OR","B","L","4",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_L_5",2021,"OR","B","L","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_L_6",2021,"OR","B","L","6",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_L_7",2021,"OR","B","L","7",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_B_L_9",2021,"OR","B","L","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_C_G_1",2021,"OR","C","G","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_C_G_2",2021,"OR","C","G","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_C_G_3",2021,"OR","C","G","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_C_G_4",2021,"OR","C","G","4",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_C_G_5",2021,"OR","C","G","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_C_G_6",2021,"OR","C","G","6",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_C_L_1",2021,"OR","C","L","1",29.0428648782942,4.68325853679292,1,0.0145,2.34162926839646,234.162926839646,2341.62926839646,161491.673682514,161.491673682514,"Positive"
"2021_OR_C_L_2",2021,"OR","C","L","2",29.2541296755418,4.07416147198079,1,0.0221,2.03708073599039,203.708073599039,2037.08073599039,92175.5989135925,92.1755989135925,"Positive"
"2021_OR_C_L_3",2021,"OR","C","L","3",30.1313498475956,2.28775333120882,1,0.0171,1.14387666560441,114.387666560441,1143.87666560441,66893.3722575678,66.8933722575678,"Positive"
"2021_OR_C_L_4",2021,"OR","C","L","4",30.8712444032941,1.412497536081,1,0.0234,0.7062487680405,70.62487680405,706.2487680405,30181.5712837821,30.1815712837821,"Positive"
"2021_OR_C_L_5",2021,"OR","C","L","5",28.6810475425735,5.95826436675818,1,0.0443,2.97913218337909,297.913218337909,2979.13218337909,67249.0334848553,67.2490334848553,"Positive"
"2021_OR_C_L_6",2021,"OR","C","L","6",29.9169021849304,2.63326917197659,1,0.0305,1.3166345859883,131.66345859883,1316.6345859883,43168.3470815835,43.1683470815834,"Positive"
"2021_OR_D_G_1",2021,"OR","D","G","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_D_G_2",2021,"OR","D","G","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_D_G_3",2021,"OR","D","G","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_D_G_4",2021,"OR","D","G","4",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_D_G_5",2021,"OR","D","G","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_D_G_6",2021,"OR","D","G","6",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_OR_D_L_1",2021,"OR","D","L","1",28.1204144153734,8.57706813072089,1,0.0431,4.28853406536045,428.853406536045,4288.53406536045,99501.9504724001,99.5019504724001,"Positive"
"2021_OR_D_L_2",2021,"OR","D","L","2",28.6799859286147,5.97397777630792,1,0.0355,2.98698888815396,298.698888815396,2986.98888815396,84140.5320606749,84.1405320606749,"Positive"
"2021_OR_D_L_3",2021,"OR","D","L","3",26.3066697759426,28.2501269671022,1,0.034,14.1250634835511,1412.50634835511,14125.0634835511,415443.043633857,415.443043633857,"Positive"
"2021_OR_D_L_4",2021,"OR","D","L","4",29.3737307647707,3.76812314311305,1,0.0418,1.88406157155652,188.406157155652,1884.06157155652,45073.2433386728,45.0732433386728,"Positive"
"2021_OR_D_L_5",2021,"OR","D","L","5",26.3520069841502,27.3921008991235,1,0.0539,13.6960504495617,1369.60504495617,13696.0504495617,254101.121513205,254.101121513205,"Positive"
"2021_OR_D_L_6",2021,"OR","D","L","6",26.1377098021586,31.5360887256013,1,0.0281,15.7680443628007,1576.80443628007,15768.0443628007,561140.368782942,561.140368782942,"Positive"
"2021_SD_A_L_1",2021,"SD","A","L","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_SD_A_L_2",2021,"SD","A","L","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_SD_A_L_4",2021,"SD","A","L","4",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_SD_A_L_5",2021,"SD","A","L","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_SD_A_L_6",2021,"SD","A","L","6",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_SD_B_G_1",2021,"SD","B","G","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_SD_B_G_2",2021,"SD","B","G","2",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_SD_B_G_3",2021,"SD","B","G","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2021_SD_B_G_4",2021,"SD","B","G","4",0,0,1,NA,0,0,0,NA,0,"Negative"
